cell,arm,rollout,reward_mean,raw_reward_mean,mean_response_tokens,kl_to_init,response_entropy,credit_ess_ratio,credit_w_std,credit_w_max
Llama-base,grpo,190,12.918702125549316,13.388397216796875,613.0,0.08652917295694351,1.0200421810150146,,,
Llama-base,grpo,191,7.440568923950195,9.3358154296875,686.703125,0.06791404634714127,0.664486289024353,,,
Llama-base,grpo,192,13.874778747558594,13.9454345703125,390.84375,0.09860076010227203,0.9639560580253601,,,
Llama-base,grpo,193,4.756227016448975,6.140802383422852,561.984375,0.07577406615018845,0.5354486107826233,,,
Llama-base,grpo,194,9.073493003845215,9.25922679901123,405.703125,0.12603631615638733,0.8602421283721924,,,
Llama-base,grpo,195,3.3936495780944824,3.8214111328125,485.984375,0.09129221737384796,1.1088179349899292,,,
Llama-base,grpo,196,6.994415283203125,6.994415283203125,303.640625,0.11372771859169006,0.7905284762382507,,,
Llama-base,grpo,197,2.1561408042907715,2.8981170654296875,417.59375,0.10177679359912872,0.6818680763244629,,,
Llama-base,grpo,198,14.113495826721191,14.762222290039062,525.921875,0.084390789270401,0.8904850482940674,,,
Llama-base,grpo,199,-0.5653429627418518,-0.05084228515625,548.0,0.07294365763664246,0.6826143860816956,,,
Llama-base,grpo,200,11.481291770935059,11.481291770935059,477.84375,0.09475964307785034,0.9913696646690369,,,
Llama-base,grpo,201,7.808931827545166,8.14459228515625,513.890625,0.081339530646801,0.8342865109443665,,,
Llama-base,grpo,202,6.532732009887695,6.68897819519043,484.546875,0.08206892013549805,0.7038741111755371,,,
Llama-base,grpo,203,4.323376178741455,4.36358642578125,338.890625,0.10813737660646439,1.0301086902618408,,,
Llama-base,grpo,204,5.461758613586426,5.67889404296875,419.125,0.11447484791278839,1.051782250404358,,,
Llama-base,grpo,205,0.55316162109375,0.55316162109375,250.4375,0.1474202573299408,0.9042179584503174,,,
Llama-base,grpo,206,4.696804046630859,4.94744873046875,422.28125,0.09073161333799362,0.8751084804534912,,,
Llama-base,grpo,207,17.76666259765625,17.76666259765625,447.234375,0.10272008180618286,0.9566844701766968,,,
Llama-base,grpo,208,12.329916954040527,12.363616943359375,511.25,0.08823882788419724,0.9151759147644043,,,
Llama-base,grpo,209,5.777721405029297,5.777721405029297,311.21875,0.1674940288066864,1.0357016324996948,,,
Llama-base,grpo,210,6.618427753448486,7.261601448059082,605.453125,0.09429600834846497,0.9956097602844238,,,
Llama-base,grpo,211,1.0814203023910522,1.46112060546875,462.265625,0.11107736080884933,1.0350700616836548,,,
Llama-base,grpo,212,5.062870979309082,6.046875,601.53125,0.08354604244232178,0.9499793648719788,,,
Llama-base,grpo,213,6.661881923675537,6.669349670410156,290.984375,0.12163197994232178,1.2152366638183594,,,
Llama-base,grpo,214,0.896453857421875,0.896453857421875,229.46875,0.15386593341827393,1.1409600973129272,,,
Llama-base,grpo,215,3.2252368927001953,4.53839111328125,587.15625,0.09230449795722961,0.8458945751190186,,,
Llama-base,grpo,216,10.601754188537598,10.772552490234375,423.328125,0.09255993366241455,0.9675822854042053,,,
Llama-base,grpo,217,8.075587272644043,8.35418701171875,442.984375,0.07346273958683014,0.8202257752418518,,,
Llama-base,grpo,218,12.166958808898926,13.178535461425781,706.546875,0.07533802092075348,0.922039806842804,,,
Llama-base,grpo,219,3.69195556640625,3.69195556640625,336.203125,0.10492224246263504,1.1397150754928589,,,
Llama-base,grpo,220,3.938577175140381,4.461311340332031,423.546875,0.07991199195384979,1.0421968698501587,,,
Llama-base,grpo,221,-1.5068292617797852,-1.4800224304199219,380.84375,0.08765654265880585,1.1081186532974243,,,
Llama-base,grpo,222,9.59800910949707,9.888671875,503.203125,0.08428478240966797,1.1610074043273926,,,
Llama-base,grpo,223,-0.7099995613098145,0.108184814453125,531.609375,0.07142382115125656,0.7411665320396423,,,
Llama-base,grpo,224,0.06206226348876953,1.63409423828125,538.078125,0.07327672094106674,0.9902892112731934,,,
Llama-base,grpo,225,4.150351524353027,4.9176025390625,642.125,0.08263638615608215,1.175876259803772,,,
Llama-base,grpo,226,7.026777744293213,7.84515380859375,543.8125,0.0905187577009201,0.8916946053504944,,,
Llama-base,grpo,227,3.1967194080352783,3.6325225830078125,469.59375,0.0888008177280426,0.5501629710197449,,,
Llama-base,grpo,228,4.206838607788086,4.65374755859375,676.1875,0.07667051255702972,0.7826001644134521,,,
Llama-base,grpo,229,4.008857727050781,5.1690216064453125,696.171875,0.09931444376707077,1.0408300161361694,,,
Llama-base,grpo,230,14.072248458862305,14.9381103515625,716.359375,0.08347471058368683,0.9218658208847046,,,
Llama-base,grpo,231,5.934704780578613,7.51458740234375,556.5,0.09565790742635727,0.9225795865058899,,,
Llama-base,grpo,232,0.5421842336654663,0.8171463012695312,392.625,0.10177505761384964,1.0471888780593872,,,
Llama-base,grpo,233,8.226155281066895,8.513946533203125,533.59375,0.11605910211801529,1.1051788330078125,,,
Llama-base,grpo,234,10.894046783447266,13.559417724609375,1014.59375,0.08659259974956512,1.1060168743133545,,,
Llama-base,grpo,235,7.76113224029541,8.667587280273438,769.96875,0.08334692567586899,1.03797447681427,,,
Llama-base,grpo,236,5.278750419616699,5.364532470703125,564.453125,0.10130459070205688,0.8167128562927246,,,
